No,Year_of_survey,District,lat,lon,CBSD_Severity,CBSD_Incidence,CMD_Mean_Severity ,CMD Incidence,Adult_Whitefly_Population,Mean_adult_whitefly_per_Plant
205,2008,Kumi,1.23772,34.10317,0,0,0,0,62,4.1
206,2008,Kumi,1.29457,34.0737,0,0,2.25,10,2,0.1
207,2008,Kumi,1.47865,33.88923,0,0,2.13,26.7,15,1
208,2008,Kumi,1.46841,33.82878,3.6,100,0,0,7,0.5
209,2008,Kumi,1.43221,33.75874,4,100,0,0,9,0.6
210,2008,Kumi,1.52278,33.82654,2,16.7,2.48,83.3,21,1.4
211,2008,Kumi,1.5327,33.83326,2,100,0,0,4,0.3
212,2008,Kumi,1.61636,33.8157,0,0,2.17,26.7,17,1.1
213,2008,Lira,2.17262,32.96785,2,3.3,2,3.3,24,1.6
214,2008,Lira,2.15604,32.98922,0,0,0,0,16,1.1
215,2008,Lira,2.1372,33.18023,0,0,0,0,18,1.2
216,2008,Lira,2.13964,33.20616,0,0,0,0,3,0.2
217,2008,Lira,2.25808,33.17873,0,0,0,0,21,1.4
218,2008,Lira,2.2863,33.18048,0,0,2,100,3,0.2
219,2008,Lira,2.0366,32.95696,0,0,0,0,5,0.3
220,2008,Lira,1.98509,32.97598,0,0,2.81,53.3,45,3
221,2008,Lira,1.95145,33.09317,0,0,2,83.3,25,1.7
222,2008,Lira,1.94276,33.11288,0,0,0,0,8,0.5
223,2008,Lira,1.85532,33.00777,2,50,2,13.3,9,0.6
224,2008,Lira,1.84052,33.0355,2,6.7,3.14,96.7,5,0.3
225,2008,Lira,1.80435,33.07346,0,0,0,0,8,0.5
226,2008,Lira,1.77641,33.08917,0,0,3.3,33.3,6,0.4
227,2008,Lira,2.25434,32.84391,0,0,0,0,9,0.6
228,2008,Lira,2.26466,32.82824,0,0,3,46.7,7,0.5
229,2008,Lira,2.29963,32.93813,0,0,0,0,11,0.7
230,2008,Lira,2.32541,32.96425,0,0,3.36,73.3,4,0.3
231,2008,Lira,2.23697,33.00628,0,0,3.82,96.7,7,0.5
232,2008,Lira,2.24691,33.06117,0,0,3.09,76.7,14,0.9
233,2008,Luwero,1.00288,32.47029,0,0,0,0,126,8.4
234,2008,Luwero,0.99085,32.47507,2,90,0,0,56,3.7
235,2008,Luwero,0.94747,32.47036,0,0,2.67,80,158,10.5
236,2008,Luwero,0.92548,32.4713,2.2,30,0,0,83,5.5
237,2008,Luwero,0.78137,32.45135,2.3,40,0,0,48,3.2
238,2008,Luwero,0.76473,32.4473,0,0,0,0,9,0.6
239,2008,Luwero,0.73922,32.43476,2,26.7,2,10,46,3.1
